idx,year,org_area_num,org_area_name,org_dirgen_num,org_dirgen_name,org_serv_num,org_serv_name,prog_num,prog_name,econ_num,descripcion,amount
0,2013,0,Deuda Pública,1,Deuda Pública,100,Deuda Pública,1101,Deuda Pública,31000,INTERESES OPERACIONES DE TESORERIA,1841666.66
1,2013,0,Deuda Pública,1,Deuda Pública,100,Deuda Pública,1101,Deuda Pública,31001,INTERESES EUROHIPO (INV. 2007),79315.44
2,2013,0,Deuda Pública,1,Deuda Pública,100,Deuda Pública,1101,Deuda Pública,31002,INTERESES PRÉSTAMO DEXIA SABADELL (INV. 2009),134783.92
3,2013,0,Deuda Pública,1,Deuda Pública,100,Deuda Pública,1101,Deuda Pública,31003,INTERESES PRÉSTAMO BBVA (INV. 2009),134783.92
4,2013,0,Deuda Pública,1,Deuda Pública,100,Deuda Pública,1101,Deuda Pública,31004,INTERESES PRÉSTAMO BANESTO (INV. 2009),254150.74
5,2013,0,Deuda Pública,1,Deuda Pública,100,Deuda Pública,1101,Deuda Pública,31006,INTERESES BBVA-DEXIA SABADEL Y BCL (REFINANCIACIÓN 2008),14693240.68
6,2013,0,Deuda Pública,1,Deuda Pública,100,Deuda Pública,1101,Deuda Pública,31007,INTERESES PRÉSTAMO BBVA (INV. 2010),223312.34
7,2013,0,Deuda Pública,1,Deuda Pública,100,Deuda Pública,1101,Deuda Pública,31008,INTERESES PRÉSTAMO DEXIA/SABADELL (INV. 2010),206134.47
8,2013,0,Deuda Pública,1,Deuda Pública,100,Deuda Pública,1101,Deuda Pública,31009,INTERÉSES PRÉSTAMO B. SANTANDER (INV. 2010),393677.79
9,2013,0,Deuda Pública,1,Deuda Pública,100,Deuda Pública,1101,Deuda Pública,31079,INTERESES B.S.C.H. (INV. 2002),88690.38
10,2013,0,Deuda Pública,1,Deuda Pública,100,Deuda Pública,1101,Deuda Pública,31084,INTERESES PRÉSTAMO UNICAJA (INV. 2003),463885.71
11,2013,0,Deuda Pública,1,Deuda Pública,100,Deuda Pública,1101,Deuda Pública,31085,INTERESES PRÉSTAMO CAJA MADRID (INV. 2003),112054.95
12,2013,0,Deuda Pública,1,Deuda Pública,100,Deuda Pública,1101,Deuda Pública,31088,INTERESES PRÉSTAMO CAJA MADRID (INV. 2004),92241.96
